Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081030,"Fruit, edible; black, white or red currants and gooseberries, fresh",8,Weight in kilograms,2137496,,,,2137496,,986674,,,0
H5,2018,2018,2018,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081040,"Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh",8,Weight in kilograms,4588161,,,,4588161,,23859646,,,0
H5,2018,2018,2018,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081050,"Fruit, edible; kiwifruit, fresh",8,Weight in kilograms,74865426,,,,74865426,,91084029,,,0
H5,2018,2018,2018,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081060,"Fruit, edible; durians, fresh",8,Weight in kilograms,14452,,,,14452,,80334,,,0
H5,2018,2018,2018,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081070,"Fruit, edible; persimmons, fresh",8,Weight in kilograms,162459827,,,,162459827,,131494587,,,0
H5,2018,2018,2018,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081090,"Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh",8,Weight in kilograms,99451312,,,,99451312,,117419015,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0811,"Fruit and nuts; uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,102320228,,,,102320228,,104467145,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0812,"Fruit and nuts provisionally preserved; e.g. by sulphur dioxide gas, brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption",8,Weight in kilograms,81070,,,,81070,,31450,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",8,Weight in kilograms,37676137,,,,37676137,,71197769,,,6
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,702122702,,,,702122702,,394292543,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,228146535,,,,228146535,,186438271,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080840,"Fruit, edible; quinces, fresh",8,Weight in kilograms,5852082,,,,5852082,,5607995,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080910,"Fruit, edible; apricots, fresh",8,Weight in kilograms,50368240,,,,50368240,,49446564,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080921,"Fruit, edible; sour cherries (Prunus cerasus), fresh",8,Weight in kilograms,11313463,,,,11313463,,10592928,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080930,"Fruit, edible; peaches, including nectarines, fresh",8,Weight in kilograms,194027597,,,,194027597,,214027758,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080940,"Fruit, edible; plums and sloes, fresh",8,Weight in kilograms,80052978,,,,80052978,,57580745,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081010,"Fruit, edible; strawberries, fresh",8,Weight in kilograms,43884671,,,,43884671,,77100868,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081020,"Fruit, edible; raspberries, blackberries, mulberries, and loganberries, fresh",8,Weight in kilograms,3312198,,,,3312198,,20312818,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081030,"Fruit, edible; black, white or red currants and gooseberries, fresh",8,Weight in kilograms,3270257,,,,3270257,,1087323,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081040,"Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh",8,Weight in kilograms,7252036,,,,7252036,,36589872,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081050,"Fruit, edible; kiwifruit, fresh",8,Weight in kilograms,77840111,,,,77840111,,97116223,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081060,"Fruit, edible; durians, fresh",8,Weight in kilograms,13876,,,,13876,,78350,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081070,"Fruit, edible; persimmons, fresh",8,Weight in kilograms,148226856,,,,148226856,,118731266,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081090,"Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh",8,Weight in kilograms,92941359,,,,92941359,,126266560,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0811,"Fruit and nuts; uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,105819945,,,,105819945,,111008220,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0812,"Fruit and nuts provisionally preserved; e.g. by sulphur dioxide gas, brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption",8,Weight in kilograms,102764,,,,102764,,46830,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",8,Weight in kilograms,38830306,,,,38830306,,68517862,,,6
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,880311096,,,,880311096,,384718809,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,678491003,,,,678491003,,370859031,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,257683729,,,,257683729,,153264369,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,248205110,,,,248205110,,150964144,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080840,"Fruit, edible; quinces, fresh",8,Weight in kilograms,2981453,,,,2981453,,2452547,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080840,"Fruit, edible; quinces, fresh",8,Weight in kilograms,4085983,,,,4085983,,3718356,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080910,"Fruit, edible; apricots, fresh",8,Weight in kilograms,43202950,,,,43202950,,36343530,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080910,"Fruit, edible; apricots, fresh",8,Weight in kilograms,32891486,,,,32891486,,18372413,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080921,"Fruit, edible; sour cherries (Prunus cerasus), fresh",8,Weight in kilograms,11503321,,,,11503321,,4732201,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080921,"Fruit, edible; sour cherries (Prunus cerasus), fresh",8,Weight in kilograms,10133940,,,,10133940,,6563534,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080930,"Fruit, edible; peaches, including nectarines, fresh",8,Weight in kilograms,199729802,,,,199729802,,118088334,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080930,"Fruit, edible; peaches, including nectarines, fresh",8,Weight in kilograms,195776109,,,,195776109,,118389491,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080940,"Fruit, edible; plums and sloes, fresh",8,Weight in kilograms,60768672,,,,60768672,,47504427,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080940,"Fruit, edible; plums and sloes, fresh",8,Weight in kilograms,58730569,,,,58730569,,48596361,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081010,"Fruit, edible; strawberries, fresh",8,Weight in kilograms,48151947,,,,48151947,,50293383,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081010,"Fruit, edible; strawberries, fresh",8,Weight in kilograms,30294162,,,,30294162,,32856527,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081020,"Fruit, edible; raspberries, blackberries, mulberries, and loganberries, fresh",8,Weight in kilograms,1291846,,,,1291846,,2589340,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081020,"Fruit, edible; raspberries, blackberries, mulberries, and loganberries, fresh",8,Weight in kilograms,2211578,,,,2211578,,5171458,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081030,"Fruit, edible; black, white or red currants and gooseberries, fresh",8,Weight in kilograms,646645,,,,646645,,398008,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081030,"Fruit, edible; black, white or red currants and gooseberries, fresh",8,Weight in kilograms,2117790,,,,2117790,,431352,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081040,"Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh",8,Weight in kilograms,1475462,,,,1475462,,4180915,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081040,"Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh",8,Weight in kilograms,2283191,,,,2283191,,6377818,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081050,"Fruit, edible; kiwifruit, fresh",8,Weight in kilograms,55198113,,,,55198113,,55389446,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081050,"Fruit, edible; kiwifruit, fresh",8,Weight in kilograms,64874540,,,,64874540,,66905497,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081060,"Fruit, edible; durians, fresh",8,Weight in kilograms,3734,,,,3734,,21547,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081060,"Fruit, edible; durians, fresh",8,Weight in kilograms,3340,,,,3340,,18616,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081070,"Fruit, edible; persimmons, fresh",8,Weight in kilograms,112876194,,,,112876194,,95745589,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081070,"Fruit, edible; persimmons, fresh",8,Weight in kilograms,112686572,,,,112686572,,87730549,,,0
H4,2015,2015,2015,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081090,"Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh",8,Weight in kilograms,71134219,,,,71134219,,84346812,,,0
H4,2016,2016,2016,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,081090,"Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh",8,Weight in kilograms,49653973,,,,49653973,,63748250,,,0
H4,2015,2015,2015,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0811,"Fruit and nuts; uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,71383317,,,,71383317,,60601672,,,0
H4,2016,2016,2016,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0811,"Fruit and nuts; uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,70821493,,,,70821493,,49089147,,,0
H4,2015,2015,2015,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0812,"Fruit and nuts provisionally preserved; e.g. by sulphur dioxide gas, brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption",8,Weight in kilograms,33877,,,,33877,,18327,,,0
H4,2016,2016,2016,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0812,"Fruit and nuts provisionally preserved; e.g. by sulphur dioxide gas, brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption",8,Weight in kilograms,549594,,,,549594,,204619,,,0
H4,2015,2015,2015,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",8,Weight in kilograms,22210181,,,,22210181,,46143412,,,6
H4,2016,2016,2016,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",8,Weight in kilograms,22555392,,,,22555392,,42188182,,,0
